description,reactStr,reacIndex,A,beta,Ta
MicroReversibleArrhenius,O2(1)+O=3O,2,2.928263e+01,-3.608974e+00,1.212909e+05
MicroReversibleArrhenius,O2(2)+O=3O,2,5.362128e-14,-3.320482e-01,7.392893e+04
MicroReversibleArrhenius,O2(3)+O=3O,2,3.385728e-19,8.203412e-01,4.666586e+04
MicroReversibleArrhenius,O2(4)+O=3O,2,1.002751e-18,7.271644e-01,3.412888e+04
MicroReversibleArrhenius,O2(5)+O=3O,2,4.109317e-21,1.285880e+00,1.531532e+04
MicroReversibleArrhenius,O2(6)+O=3O,2,8.827044e-19,7.980073e-01,4.304051e+03
MicroReversibleArrhenius,O2(7)+O=3O,2,9.454539e-20,1.022058e+00,-4.299843e+02
MicroReversibleArrhenius,O2(8)+O=3O,2,2.179284e-19,9.523627e-01,-7.654686e+02
MicroReversibleArrhenius,O2(9)+O=3O,2,6.450959e-19,8.687251e-01,-5.945032e+02
MicroReversibleArrhenius,O2(2)+O=O2(1)+O,5,3.749428e-17,-5.317702e-02,1.462127e+03
MicroReversibleArrhenius,O2(3)+O=O2(1)+O,5,5.865621e-18,8.369860e-02,1.256202e+03
MicroReversibleArrhenius,O2(3)+O=O2(2)+O,5,9.125348e-18,1.527148e-01,1.079197e+03
MicroReversibleArrhenius,O2(4)+O=O2(1)+O,5,1.281131e-18,1.956178e-01,1.014117e+03
MicroReversibleArrhenius,O2(4)+O=O2(2)+O,5,4.114035e-18,1.999493e-01,9.208240e+02
MicroReversibleArrhenius,O2(4)+O=O2(3)+O,5,7.233859e-18,2.151749e-01,9.103081e+02
MicroReversibleArrhenius,O2(5)+O=O2(1)+O,5,3.169615e-19,2.957071e-01,6.696703e+02
MicroReversibleArrhenius,O2(5)+O=O2(2)+O,5,1.425162e-18,2.712164e-01,6.000932e+02
MicroReversibleArrhenius,O2(5)+O=O2(3)+O,5,5.667778e-18,2.128039e-01,6.793942e+02
MicroReversibleArrhenius,O2(5)+O=O2(4)+O,5,1.475172e-17,1.780593e-01,8.089494e+02
MicroReversibleArrhenius,O2(6)+O=O2(1)+O,5,6.346115e-20,4.131330e-01,3.822743e+02
MicroReversibleArrhenius,O2(6)+O=O2(2)+O,5,4.271345e-19,3.522006e-01,3.607043e+02
MicroReversibleArrhenius,O2(6)+O=O2(3)+O,5,2.518024e-18,2.596499e-01,4.887086e+02
MicroReversibleArrhenius,O2(6)+O=O2(4)+O,5,1.212068e-17,1.698567e-01,4.933791e+02
MicroReversibleArrhenius,O2(6)+O=O2(5)+O,5,6.116487e-17,6.387685e-02,6.973399e+02
MicroReversibleArrhenius,O2(7)+O=O2(1)+O,5,2.066702e-20,4.980338e-01,5.520491e+02
MicroReversibleArrhenius,O2(7)+O=O2(2)+O,5,2.229986e-19,4.068316e-01,6.566006e+02
MicroReversibleArrhenius,O2(7)+O=O2(3)+O,5,2.286106e-18,2.652679e-01,8.408928e+02
MicroReversibleArrhenius,O2(7)+O=O2(4)+O,5,1.086538e-17,1.779317e-01,6.269666e+02
MicroReversibleArrhenius,O2(7)+O=O2(5)+O,5,3.886484e-17,1.041529e-01,4.222495e+02
MicroReversibleArrhenius,O2(7)+O=O2(6)+O,5,5.699074e-17,9.780978e-02,4.701393e+02
MicroReversibleArrhenius,O2(8)+O=O2(1)+O,5,8.397230e-22,7.592113e-01,-7.630044e+02
MicroReversibleArrhenius,O2(8)+O=O2(2)+O,5,4.669304e-20,5.397007e-01,1.937315e+02
MicroReversibleArrhenius,O2(8)+O=O2(3)+O,5,7.209081e-19,3.734559e-01,5.903892e+02
MicroReversibleArrhenius,O2(8)+O=O2(4)+O,5,5.891628e-18,2.390085e-01,7.937364e+02
MicroReversibleArrhenius,O2(8)+O=O2(5)+O,5,2.966712e-17,1.324185e-01,7.817886e+02
MicroReversibleArrhenius,O2(8)+O=O2(6)+O,5,4.011256e-17,1.300613e-01,6.391766e+02
MicroReversibleArrhenius,O2(8)+O=O2(7)+O,5,7.257387e-19,4.750229e-01,1.596696e+03
MicroReversibleArrhenius,O2(9)+O=O2(1)+O,5,1.590116e-23,1.041100e+00,-2.368251e+03
MicroReversibleArrhenius,O2(9)+O=O2(2)+O,5,2.054549e-21,7.944915e-01,-2.194975e+02
MicroReversibleArrhenius,O2(9)+O=O2(3)+O,5,1.632031e-19,5.036247e-01,5.901375e+02
MicroReversibleArrhenius,O2(9)+O=O2(4)+O,5,3.445524e-18,2.924438e-01,8.656748e+02
MicroReversibleArrhenius,O2(9)+O=O2(5)+O,5,3.192799e-17,1.309417e-01,9.107603e+02
MicroReversibleArrhenius,O2(9)+O=O2(6)+O,5,5.027153e-17,1.105362e-01,6.377003e+02
MicroReversibleArrhenius,O2(9)+O=O2(7)+O,5,2.487663e-18,3.546542e-01,1.113263e+03
MicroReversibleArrhenius,O2(9)+O=O2(8)+O,5,4.853292e-20,6.883261e-01,3.820783e+03
MicroReversibleArrhenius,O2(2)+O=O2(1)+O,6,1.408797e-17,2.432531e-01,-6.213487e+02
MicroReversibleArrhenius,O2(3)+O=O2(1)+O,6,5.247659e-20,6.289591e-01,8.265579e+02
MicroReversibleArrhenius,O2(3)+O=O2(2)+O,6,1.517136e-17,2.604576e-01,-4.206161e+02
MicroReversibleArrhenius,O2(4)+O=O2(1)+O,6,1.405671e-21,8.818370e-01,-2.342370e+02
MicroReversibleArrhenius,O2(4)+O=O2(2)+O,6,1.093067e-19,5.936072e-01,8.520116e+02
MicroReversibleArrhenius,O2(4)+O=O2(3)+O,6,1.825952e-17,2.409609e-01,-4.486313e+02
MicroReversibleArrhenius,O2(5)+O=O2(1)+O,6,7.732960e-22,8.619112e-01,-2.324077e+02
MicroReversibleArrhenius,O2(5)+O=O2(2)+O,6,3.740844e-21,8.281372e-01,-4.502625e+02
MicroReversibleArrhenius,O2(5)+O=O2(3)+O,6,1.363226e-19,5.687219e-01,6.088814e+02
MicroReversibleArrhenius,O2(5)+O=O2(4)+O,6,1.908375e-17,2.254539e-01,-6.188029e+02
MicroReversibleArrhenius,O2(6)+O=O2(1)+O,6,4.988777e-22,8.343881e-01,-2.381073e+02
MicroReversibleArrhenius,O2(6)+O=O2(2)+O,6,1.645331e-21,8.303184e-01,-6.884207e+02
MicroReversibleArrhenius,O2(6)+O=O2(3)+O,6,8.096584e-21,7.500953e-01,-4.666456e+02
MicroReversibleArrhenius,O2(6)+O=O2(4)+O,6,8.480567e-20,6.005246e-01,2.245567e+02
MicroReversibleArrhenius,O2(6)+O=O2(5)+O,6,8.183281e-18,2.933812e-01,-9.261534e+02
MicroReversibleArrhenius,O2(7)+O=O2(1)+O,6,4.126133e-23,9.992703e-01,-3.910066e+02
MicroReversibleArrhenius,O2(7)+O=O2(2)+O,6,2.130051e-22,9.580918e-01,-3.647380e+02
MicroReversibleArrhenius,O2(7)+O=O2(3)+O,6,1.033534e-21,8.813115e-01,-5.849068e+01
MicroReversibleArrhenius,O2(7)+O=O2(4)+O,6,6.280361e-21,7.761859e-01,3.936688e+02
MicroReversibleArrhenius,O2(7)+O=O2(5)+O,6,6.757867e-20,6.258613e-01,9.418693e+02
MicroReversibleArrhenius,O2(7)+O=O2(6)+O,6,4.556038e-18,3.684805e-01,-6.892457e+02
MicroReversibleArrhenius,O2(8)+O=O2(1)+O,6,3.029817e-24,1.138343e+00,-1.524134e+03
MicroReversibleArrhenius,O2(8)+O=O2(2)+O,6,1.109017e-23,1.152997e+00,-1.245880e+03
MicroReversibleArrhenius,O2(8)+O=O2(3)+O,6,2.336802e-23,1.175086e+00,-8.262966e+02
MicroReversibleArrhenius,O2(8)+O=O2(4)+O,6,2.433287e-22,1.017193e+00,2.129099e+02
MicroReversibleArrhenius,O2(8)+O=O2(5)+O,6,1.760719e-21,8.944026e-01,8.698009e+02
MicroReversibleArrhenius,O2(8)+O=O2(6)+O,6,3.523255e-20,6.856922e-01,1.645768e+03
MicroReversibleArrhenius,O2(8)+O=O2(7)+O,6,3.090136e-18,4.021400e-01,-8.268950e+02
MicroReversibleArrhenius,O2(9)+O=O2(1)+O,6,9.437193e-25,9.946736e-01,-2.215026e+03
MicroReversibleArrhenius,O2(9)+O=O2(2)+O,6,1.581433e-26,1.659160e+00,-2.750706e+03
MicroReversibleArrhenius,O2(9)+O=O2(3)+O,6,5.304588e-25,1.450497e+00,-6.551767e+02
MicroReversibleArrhenius,O2(9)+O=O2(4)+O,6,2.422221e-24,1.400207e+00,-1.513032e+02
MicroReversibleArrhenius,O2(9)+O=O2(5)+O,6,5.037649e-23,1.172754e+00,8.573479e+02
MicroReversibleArrhenius,O2(9)+O=O2(6)+O,6,1.357338e-21,9.047053e-01,1.522528e+03
MicroReversibleArrhenius,O2(9)+O=O2(7)+O,6,1.361105e-20,7.385909e-01,2.726841e+03
MicroReversibleArrhenius,O2(9)+O=O2(8)+O,6,1.481012e-18,4.723503e-01,-9.210104e+02
